,Age,City,Event,Games,Height,ID,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
58,24.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,161.0,455,Silver,RUS,Denis Mikhaylovich Ablyazin,Summer,M,Gymnastics,Russia,794,62.0,2016
60,24.0,Rio de Janeiro,Gymnastics Men's Horse Vault,2016 Summer,161.0,455,Silver,RUS,Denis Mikhaylovich Ablyazin,Summer,M,Gymnastics,Russia,796,62.0,2016
61,24.0,Rio de Janeiro,Gymnastics Men's Rings,2016 Summer,161.0,455,Bronze,RUS,Denis Mikhaylovich Ablyazin,Summer,M,Gymnastics,Russia,797,62.0,2016
1066,24.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,165.0,9829,Silver,RUS,David Sagitovich Belyavsky,Summer,M,Gymnastics,Russia,18577,55.0,2016
1068,24.0,Rio de Janeiro,Gymnastics Men's Parallel Bars,2016 Summer,165.0,9829,Bronze,RUS,David Sagitovich Belyavsky,Summer,M,Gymnastics,Russia,18579,55.0,2016
2838,24.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,163.0,27572,Bronze,CHN,Deng Shudi,Summer,M,Gymnastics,China,53763,58.0,2016
4600,28.0,Rio de Janeiro,Gymnastics Men's Horizontal Bar,2016 Summer,164.0,45219,Gold,GER,Fabian Hambchen,Summer,M,Gymnastics,Germany,89224,62.0,2016
5150,30.0,Rio de Janeiro,Gymnastics Men's Floor Exercise,2016 Summer,170.0,51457,Silver,BRA,Diego Matias Hyplito,Summer,M,Gymnastics,Brazil,101753,68.0,2016
5748,22.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,162.0,57997,Gold,JPN,Ryohei Kato,Summer,M,Gymnastics,Japan,114515,54.0,2016
6421,27.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,172.0,64787,Silver,RUS,Nikolay Yulyevich Kuksenkov,Summer,M,Gymnastics,Russia,128700,65.0,2016
6832,24.0,Rio de Janeiro,Gymnastics Men's Parallel Bars,2016 Summer,170.0,69285,Silver,USA,Danell Johan Leyva Gonzalez,Summer,M,Gymnastics,United States,137853,68.0,2016
6833,24.0,Rio de Janeiro,Gymnastics Men's Horizontal Bar,2016 Summer,170.0,69285,Silver,USA,Danell Johan Leyva Gonzalez,Summer,M,Gymnastics,United States,137854,68.0,2016
6923,20.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,163.0,69955,Bronze,CHN,Lin Chaopan,Summer,M,Gymnastics,China,139275,60.0,2016
6990,21.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,162.0,70677,Bronze,CHN,Liu Yang,Summer,M,Gymnastics,China,140788,61.0,2016
7450,22.0,Rio de Janeiro,Gymnastics Men's Floor Exercise,2016 Summer,169.0,75010,Bronze,BRA,Arthur Nory Oyakawa Mariano,Summer,M,Gymnastics,Brazil,149540,65.0,2016
8398,25.0,Rio de Janeiro,Gymnastics Men's Pommelled Horse,2016 Summer,170.0,84014,Bronze,USA,"Alexander Michael ""Alex"" Naddour",Summer,M,Gymnastics,United States,167240,70.0,2016
8414,19.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,166.0,84138,Silver,RUS,Nikita Vladimirovich Nagorny,Summer,M,Gymnastics,Russia,167469,67.0,2016
9410,25.0,Rio de Janeiro,Gymnastics Men's Rings,2016 Summer,164.0,94094,Gold,GRE,Eleftherios Petrounias,Summer,M,Gymnastics,Greece,187216,62.0,2016
10076,31.0,Rio de Janeiro,Gymnastics Men's Horse Vault,2016 Summer,155.0,100351,Gold,PRK,Ri Se-Gwang,Summer,M,Gymnastics,North Korea,199788,54.0,2016
11004,19.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,162.0,109869,Gold,JPN,Kenzo Shirai,Summer,M,Gymnastics,Japan,218755,51.0,2016
11006,19.0,Rio de Janeiro,Gymnastics Men's Horse Vault,2016 Summer,162.0,109869,Bronze,JPN,Kenzo Shirai,Summer,M,Gymnastics,Japan,218757,51.0,2016
11252,27.0,Rio de Janeiro,Gymnastics Men's Pommelled Horse,2016 Summer,184.0,112342,Silver,GBR,Louis Antoine Smith,Summer,M,Gymnastics,Great Britain,223676,76.0,2016
11540,19.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,170.0,115758,Silver,RUS,Ivan Alekseyevich Stretovich,Summer,M,Gymnastics,Russia,230629,59.0,2016
11796,26.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,166.0,118359,Gold,JPN,Yusuke Tanaka,Summer,M,Gymnastics,Japan,236062,58.0,2016
12324,27.0,Rio de Janeiro,Gymnastics Men's Individual All-Around,2016 Summer,160.0,123056,Gold,JPN,Kohei Uchimura,Summer,M,Gymnastics,Japan,245736,54.0,2016
12325,27.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,160.0,123056,Gold,JPN,Kohei Uchimura,Summer,M,Gymnastics,Japan,245737,54.0,2016
12663,22.0,Rio de Janeiro,Gymnastics Men's Individual All-Around,2016 Summer,161.0,126096,Silver,UKR,Oleh Yuriyovych Verniaiev,Summer,M,Gymnastics,Ukraine,251779,55.0,2016
12667,22.0,Rio de Janeiro,Gymnastics Men's Parallel Bars,2016 Summer,161.0,126096,Gold,UKR,Oleh Yuriyovych Verniaiev,Summer,M,Gymnastics,Ukraine,251783,55.0,2016
13048,23.0,Rio de Janeiro,Gymnastics Men's Individual All-Around,2016 Summer,167.0,130071,Bronze,GBR,Max Antony Whitlock,Summer,M,Gymnastics,Great Britain,259829,56.0,2016
13050,23.0,Rio de Janeiro,Gymnastics Men's Floor Exercise,2016 Summer,167.0,130071,Gold,GBR,Max Antony Whitlock,Summer,M,Gymnastics,Great Britain,259831,56.0,2016
13054,23.0,Rio de Janeiro,Gymnastics Men's Pommelled Horse,2016 Summer,167.0,130071,Gold,GBR,Max Antony Whitlock,Summer,M,Gymnastics,Great Britain,259835,56.0,2016
13146,20.0,Rio de Janeiro,Gymnastics Men's Horizontal Bar,2016 Summer,166.0,130874,Bronze,GBR,Nile Wilson,Summer,M,Gymnastics,Great Britain,261563,60.0,2016
13291,27.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,159.0,132340,Gold,JPN,Koji Yamamuro,Summer,M,Gymnastics,Japan,264454,58.0,2016
13402,24.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,162.0,133174,Bronze,CHN,You Hao,Summer,M,Gymnastics,China,266171,60.0,2016
13502,26.0,Rio de Janeiro,Gymnastics Men's Rings,2016 Summer,156.0,133931,Silver,BRA,Arthur Nabarrete Zanetti,Summer,M,Gymnastics,Brazil,267709,61.0,2016
13551,27.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,173.0,134433,Bronze,CHN,Zhang Chenglong,Summer,M,Gymnastics,China,268713,65.0,2016
