,Age,City,Event,Games,Height,ID,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
8,21.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,198.0,62,Bronze,ITA,Giovanni Abagnale,Summer,M,Rowing,Italy,158,90.0,2016
735,27.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,178.0,6346,Gold,FRA,Jrmie Azou,Summer,M,Rowing,France,11648,71.0,2016
885,28.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,183.0,8025,Bronze,FRA,Thomas Gabriel Jrmie Baroukh,Summer,M,Rowing,France,14871,70.0,2016
912,27.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,188.0,8214,Silver,DEN,Jacob Jepsen Barse,Summer,M,Rowing,Denmark,15215,73.0,2016
1059,26.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,187.0,9764,Silver,AUS,Alexander Belonogoff,Summer,M,Rowing,Australia,18441,90.0,2016
1105,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,207.0,10181,Gold,GBR,Paul Bennett,Summer,M,Rowing,Great Britain,19227,100.0,2016
1351,30.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,189.0,13120,Gold,NZL,Hamish Byron Bond,Summer,M,Rowing,New Zealand,25068,89.0,2016
1378,25.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,190.0,13359,Silver,AUS,"Joshua ""Josh"" Booth",Summer,M,Rowing,Australia,25568,93.0,2016
1383,26.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,193.0,13395,Bronze,NOR,Kjetil Borch,Summer,M,Rowing,Norway,25638,84.0,2016
1582,25.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,187.0,15181,Silver,RSA,Lawrence Brittain,Summer,M,Rowing,South Africa,29397,94.0,2016
1645,28.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,175.0,15743,Bronze,NOR,Kristoffer Brun,Summer,M,Rowing,Norway,30541,70.0,2016
1963,30.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,188.0,18870,Bronze,ITA,Matteo Castaldo,Summer,M,Rowing,Italy,36723,86.0,2016
2347,24.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,187.0,22307,Bronze,FRA,Thibault Colard,Summer,M,Rowing,France,43276,70.0,2016
2904,24.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,184.0,28068,Bronze,ITA,Marco Di Costanzo,Summer,M,Rowing,Italy,54773,87.0,2016
3117,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,200.0,29899,Silver,GER,Felix Drahotta,Summer,M,Rowing,Germany,58440,102.0,2016
3142,37.0,Rio de Janeiro,Rowing Men's Single Sculls,2016 Summer,200.0,30156,Gold,NZL,Alexander Mah Owens Drysdale,Summer,M,Rowing,New Zealand,58935,102.0,2016
