,Age,City,Event,Games,Height,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
62,21.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,198.0,Bronze,ITA,Giovanni Abagnale,Summer,M,Rowing,Italy,158,90.0,2016
65,21.0,Rio de Janeiro,Taekwondo Women's Flyweight,2016 Summer,165.0,Bronze,AZE,Patimat Abakarova,Summer,F,Taekwondo,Azerbaijan,161,49.0,2016
73,31.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,182.0,Silver,FRA,Luc Abalo,Summer,M,Handball,France,175,86.0,2016
250,26.0,Rio de Janeiro,"Wrestling Men's Middleweight, Greco-Roman",2016 Summer,170.0,Bronze,IRI,Saeid Morad Abdevali,Summer,M,Wrestling,Iran,450,80.0,2016
455,24.0,Rio de Janeiro,Gymnastics Men's Rings,2016 Summer,161.0,Bronze,RUS,Denis Mikhaylovich Ablyazin,Summer,M,Gymnastics,Russia,797,62.0,2016
465,30.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,197.0,Bronze,AUS,"Matthew ""Matt"" Abood",Summer,M,Swimming,Australia,814,92.0,2016
576,23.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,198.0,Bronze,ESP,"Alejandro ""lex"" Abrines Redondo",Summer,M,Basketball,Spain,1029,93.0,2016
608,20.0,Rio de Janeiro,Taekwondo Men's Featherweight,2016 Summer,178.0,Gold,JOR,Ahmad Abughaush,Summer,M,Taekwondo,Jordan,1080,68.0,2016
690,31.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,172.0,Silver,NED,Chantal Achterberg,Summer,F,Rowing,Netherlands,1228,72.0,2016
832,33.0,Rio de Janeiro,Boxing Women's Flyweight,2016 Summer,164.0,Gold,GBR,Nicola Virginia Adams,Summer,F,Boxing,Great Britain,1495,51.0,2016
837,26.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,188.0,Bronze,USA,Rachael Alexis Adams,Summer,F,Volleyball,United States,1514,81.0,2016
846,31.0,Rio de Janeiro,Athletics Women's Shot Put,2016 Summer,193.0,Silver,NZL,Valerie Kasanita Adams-Vili (-Price),Summer,F,Athletics,New Zealand,1529,120.0,2016
1017,27.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,198.0,Gold,USA,Nathan Ghar-Jun Adrian,Summer,M,Swimming,United States,1850,100.0,2016
1561,20.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,180.0,Bronze,CAN,Mobolade Abimbola Ajomale,Summer,M,Athletics,Canada,2810,62.0,2016
1634,25.0,Rio de Janeiro,"Wrestling Men's Super-Heavyweight, Freestyle",2016 Summer,192.0,Gold,TUR,Taha Akgl,Summer,M,Wrestling,Turkey,2926,125.0,2016
1647,21.0,Rio de Janeiro,Boxing Men's Bantamweight,2016 Summer,165.0,Bronze,UZB,Murodzhon Kakharovich Akhmadaliyev,Summer,M,Boxing,Uzbekistan,2955,56.0,2016
1682,22.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,163.0,Gold,USA,Morolake Akinosun,Summer,F,Athletics,United States,3020,61.0,2016
1683,28.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,191.0,Bronze,USA,Foluke Antinuke Akinradewo,Summer,F,Volleyball,United States,3022,79.0,2016
2497,24.0,Rio de Janeiro,"Wrestling Men's Heavyweight, Greco-Roman",2016 Summer,190.0,Gold,ARM,Artur Aleksanyan,Summer,M,Wrestling,Armenia,4383,98.0,2016
2610,21.0,Rio de Janeiro,Taekwondo Men's Heavyweight,2016 Summer,207.0,Silver,NIG,Abdoul Razak Issoufou Alfaga,Summer,M,Taekwondo,Niger,4589,90.0,2016
