name,author,rating,year,genre
10-Day Green Smoothie Cleanse,JJ Smith,4.7,2016,Non Fiction
11/22/63: A Novel,Stephen King,4.6,2011,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,2018,Non Fiction
1984 (Signet Classics),George Orwell,4.7,2017,Fiction
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,2019,Childrens
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,2011,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,2014,Fiction
A Gentleman in Moscow: A Novel,Amor Towles,4.7,2017,Fiction
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,2018,Non Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,2016,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,2010,Non Fiction
A Stolen Life: A Memoir,Jaycee Dugard,4.6,2011,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,2018,Fiction
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,2009,Non Fiction
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2016,Non Fiction
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2015,Non Fiction
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2015,Non Fiction
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2015,Non Fiction
Alexander Hamilton,Ron Chernow,4.8,2016,Non Fiction
All the Light We Cannot See,Anthony Doerr,4.6,2014,Fiction
Allegiant,Veronica Roth,3.9,2013,Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,2015,Non Fiction
And the Mountains Echoed,Khaled Hosseini,4.3,2013,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,2009,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,2017,Non Fiction
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,2010,Non Fiction
Baby Touch and Feel: Animals,DK,4.6,2015,Childrens
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,2015,Non Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,2012,Non Fiction
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,2010,Non Fiction
Becoming,Michelle Obama,4.8,2018,Non Fiction
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,2015,Non Fiction
Born to Run,Bruce Springsteen,4.7,2016,Non Fiction
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,2009,Fiction
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,2010,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,2017,Childrens
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,2011,Childrens
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,2016,Non Fiction
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,2019,Non Fiction
Capital in the Twenty First Century,Thomas Piketty,4.5,2014,Non Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,2010,Fiction
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,2016,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,2009,Non Fiction
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,2018,Fiction
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,2015,Non Fiction
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,2015,Non Fiction
Cutting for Stone,Abraham Verghese,4.6,2010,Fiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,2013,Non Fiction
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,2013,Non Fiction
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,2009,Fiction
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,2010,Fiction
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2011,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,2015,Childrens
Decision Points,George W. Bush,4.6,2010,Non Fiction
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,2010,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,2013,Non Fiction
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,2013,Childrens
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,2009,Childrens
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,2014,Childrens
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,2019,Childrens
Divergent,Veronica Roth,4.6,2013,Fiction
Divergent / Insurgent,Veronica Roth,4.5,2014,Fiction
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,2009,Non Fiction
Doctor Sleep: A Novel,Stephen King,4.7,2013,Fiction
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,2009,Childrens
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,2018,Childrens
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,2017,Childrens
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,2018,Childrens
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,2019,Childrens
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,2019,Childrens
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,2018,Childrens
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,2016,Childrens
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2015,Non Fiction
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2010,Non Fiction
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,2009,Non Fiction
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,2009,Non Fiction
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,2011,Non Fiction
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,2009,Fiction
Eclipse (Twilight),Stephenie Meyer,4.7,2009,Fiction
Educated: A Memoir,Tara Westover,4.7,2018,Non Fiction
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,2015,Non Fiction
Fahrenheit 451,Ray Bradbury,4.6,2016,Fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,2016,Fiction
Fear: Trump in the White House,Bob Woodward,4.4,2018,Non Fiction
Fifty Shades Darker,E L James,4.4,2012,Fiction
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,2012,Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,2012,Fiction
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,2012,Fiction
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,2018,Non Fiction
First 100 Words,Roger Priddy,4.7,2014,Non Fiction
Food Rules: An Eater's Manual,Michael Pollan,4.4,2010,Non Fiction
Frozen (Little Golden Book),RH Disney,4.7,2014,Fiction
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,2010,Non Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,2011,Fiction
George Washington's Sacred Fire,Peter A. Lillback,4.5,2010,Non Fiction
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,2013,Non Fiction
Giraffes Can't Dance,Giles Andreae,4.8,2015,Childrens
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,2019,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,2018,Non Fiction
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,2009,Non Fiction
Go Set a Watchman: A Novel,Harper Lee,3.6,2015,Fiction
Go the F**k to Sleep,Adam Mansbach,4.8,2011,Fiction
Going Rogue: An American Life,Sarah Palin,4.6,2009,Non Fiction
Gone Girl,Gillian Flynn,4.0,2012,Fiction
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,2019,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,2009,Non Fiction
Goodnight Moon,Margaret Wise Brown,4.8,2017,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,2012,Childrens
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,2014,Non Fiction
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,2015,Fiction
Guts,Raina Telgemeier,4.8,2019,Non Fiction
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,2016,Non Fiction
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,2013,Non Fiction
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,2016,Fiction
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,2016,Fiction
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,2019,Fiction
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,2017,Fiction
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,2016,Fiction
Harry Potter Coloring Book,Scholastic,4.7,2015,Non Fiction
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,2016,Fiction
Have a Little Faith: A True Story,Mitch Albom,4.8,2009,Non Fiction
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,2011,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,2016,Non Fiction
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,2018,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,2014,Non Fiction
Howard Stern Comes Again,Howard Stern,4.3,2019,Non Fiction
Humans of New York,Brandon Stanton,4.8,2013,Non Fiction
Humans of New York : Stories,Brandon Stanton,4.9,2015,Non Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,2013,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,2019,Non Fiction
"I, Alex Cross",James Patterson,4.6,2009,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,2017,Fiction
If I Stay,Gayle Forman,4.3,2014,Fiction
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,2011,Non Fiction
Inferno,Dan Brown,4.1,2013,Fiction
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,2011,Fiction
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,2019,Non Fiction
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,2019,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,2011,Non Fiction
JOURNEY TO THE ICE P,RH Disney,4.6,2014,Fiction
Joyland (Hard Case Crime),Stephen King,4.5,2013,Fiction
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,2017,Non Fiction
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,2013,Non Fiction
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,2012,Non Fiction
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,2011,Non Fiction
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,2014,Non Fiction
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,2015,Non Fiction
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,2016,Non Fiction
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2018,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,2013,Childrens
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,2018,Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,2013,Childrens
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,2013,Non Fiction
Leonardo da Vinci,Walter Isaacson,4.5,2017,Non Fiction
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,2018,Non Fiction
