ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
23807,Gida,0.25,female,Unknown Mix,12/10/19,12/11/19,12/11/19,red,short,small,no,,,,,,,
533,Frida És Ricsi,0.17,female,Unknown Mix,12/1/19,12/1/19,12/9/19,black and white,short,small,no,,yes,yes,yes,yes,yes,
23793,,4,male,Unknown Mix,12/8/19,12/23/19,12/8/19,saddle back,short,medium,no,,,,,,,
23795,,1,male,Unknown Mix,12/8/19,12/23/19,12/8/19,yellow-brown,medium,medium,no,,,,,,,
23806,Amy,2,female,French Bulldog Mix,12/10/19,12/11/19,12/11/19,black,short,small,no,,,,,,,
23801,Alex,4.25,male,Unknown Mix,12/9/19,12/24/19,12/9/19,yellow-brown,short,small,yes,,,,,,,
534,Ricsi És Frida,0.17,male,Unknown Mix,12/1/19,12/1/19,12/9/19,brown,short,small,no,,yes,yes,yes,yes,yes,
23805,,0.17,female,Unknown Mix,12/10/19,12/25/19,12/11/19,gray and white,short,medium,no,,,,,,,
23809,,0.17,female,Unknown Mix,12/11/19,12/26/19,12/12/19,black,medium,medium,no,,,,,,,
1801,Újhartyáni Mazsi,0.17,female,Unknown Mix,12/10/19,12/10/19,12/11/19,brown and white,short,small,no,,yes,yes,yes,yes,yes,flat
1222,Vasi,3.67,male,Vizsla Mix,10/25/19,10/25/19,12/12/19,red,short,medium,yes,,,,,,,
23792,,1,male,Unknown Mix,12/8/19,12/23/19,12/8/19,saddle back,medium,medium,no,,,,,,,
23797,,5,female,Unknown Mix,12/8/19,12/23/19,12/8/19,brown,long,small,no,,,,,,,
1800,Újhartyáni Frenki,0.17,male,Unknown Mix,12/10/19,12/10/19,12/11/19,tricolor,short,small,no,,yes,yes,yes,yes,yes,flat
532,Fickó,1.5,male,"Bull Terrier, Dachshund Mix",12/1/19,12/1/19,12/9/19,brown and white,short,medium,yes,,yes,yes,no,no,no,
23796,,8,male,Unknown Mix,12/8/19,12/23/19,12/8/19,black,medium,medium,no,,,,,,,
1802,Újhartyáni Bori,0.17,female,Unknown Mix,12/10/19,12/10/19,12/11/19,tricolor,short,small,no,,yes,yes,yes,yes,yes,flat
1799,Dabasi Ixorn,0.83,male,Unknown Mix,12/5/19,12/5/19,12/9/19,black,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
23794,,1,male,Unknown Mix,12/8/19,12/23/19,12/8/19,yellow-brown,medium,medium,no,,,,,,,
1393,Gizmo,0.5,male,Unknown Mix,12/8/19,12/10/19,12/10/19,spotty,medium,small,yes,,,,,,,
23788,Sába,7.58,female,Kuvasz,12/1/19,12/16/19,12/8/19,white,medium,large,yes,,,,,,,
4492,Döme,1,male,Unknown Mix,11/25/19,11/25/19,12/7/19,black,medium,medium,,,yes,,,,yes,both flat and garden
4484,Jocelyn,0.17,female,Unknown Mix,11/27/19,11/27/19,12/7/19,apricot,short,small,,,yes,,yes,yes,,both flat and garden
23787,,0.67,female,Unknown Mix,12/7/19,12/22/19,12/7/19,yellow-brown,wirehaired,medium,no,,,,,,,
4487,Katica,0.58,female,Unknown Mix,12/3/19,12/3/19,12/7/19,black,short,small,,,yes,,,,,both flat and garden
4491,Bethany,5,female,Chinese Shar-Pei Mix,11/28/19,11/28/19,12/7/19,black and brown,short,medium,,,yes,,,,,both flat and garden
4486,Cotta,0.15,female,Staffordshire Terrier Mix,12/1/19,12/1/19,12/7/19,brown and white,short,medium,,,yes,,yes,yes,,both flat and garden
4488,Kehlani,0.42,female,German Shepherd Dog Mix,12/1/19,12/1/19,12/7/19,black and brown,short,medium,,,yes,,,,,both flat and garden
23790,,6,male,Unknown Mix,12/8/19,12/23/19,12/8/19,saddle back,medium,medium,no,,,,,,,
1798,Kakucsi Szikra,2.42,male,Hungarian Vizsla,12/7/19,12/7/19,12/7/19,brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
4489,Crosby,1,male,"Komondor, Puli Mix",11/27/19,11/27/19,12/7/19,golden,medium,medium,,,yes,,,,,both flat and garden
23784,,0.58,male,"Bull Terrier, Staffordshire Terrier Mix",12/6/19,12/21/19,12/7/19,striped,short,medium,no,,,,,,,
23789,,0.33,male,Unknown Mix,12/8/19,12/23/19,12/8/19,black,short,small,no,,,,,,,
4490,Bowen,1,male,Unknown Mix,11/22/19,11/22/19,12/7/19,brown,medium,large,,,yes,,,,,both flat and garden
4485,Panna,0.15,female,Staffordshire Terrier Mix,12/1/19,12/1/19,12/7/19,striped,short,medium,,,yes,,yes,yes,,both flat and garden
1795,Szolnoki Joker,1,male,Fox Terrier Mix,12/7/19,12/7/19,12/7/19,black and white,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
1797,Sátoraljaújhelyi Dingó,2,male,Unknown Mix,12/5/19,12/5/19,12/7/19,yellow,short,medium,no,,yes,yes,yes,yes,,both flat and garden
4483,Valentin,0.67,male,Unknown Mix,12/3/19,12/3/19,12/7/19,apricot,short,small,,,yes,,,,,both flat and garden
1796,Szolnoki Chris,1,male,Fox Terrier Mix,12/7/19,12/7/19,12/7/19,brown and white,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
23791,,4,male,Unknown Mix,12/8/19,12/23/19,12/8/19,yellow-brown,medium,medium,no,,,,,,,
23778,Pufi,8,male,Unknown Mix,12/2/19,12/17/19,12/2/19,wild boar,short,small,no,,,,,,,
1048,Velencei Fiffi,9.25,female,Afghan Hound,12/1/19,12/4/19,12/3/19,brown,long,medium,yes,yes,yes,,,,,flat
2138,Szálkás Kan Kölyök,0.5,male,Unknown Mix,11/4/19,11/4/19,11/29/19,brown,wirehaired,medium,yes,,,,,,,
1793,Szakáldi Báró,1.42,male,Unknown Mix,12/3/19,12/3/19,12/5/19,brown and white,short,medium,no,,yes,yes,no,yes,,both flat and garden
23777,,0.25,male,Unknown Mix,12/2/19,12/17/19,12/2/19,black and tan,wirehaired,small,no,,,,,,,
2137,Hónapos Keverék Kan,0.5,male,Unknown Mix,11/4/19,11/4/19,11/29/19,tricolor,medium,medium,yes,,,,,,,
2154,Kormi,6.5,male,Unknown Mix,10/7/19,10/7/19,12/5/19,black,short,medium,yes,,,,,,,
23780,,0.25,female,Unknown Mix,12/4/19,12/19/19,12/4/19,saddle back,medium,medium,no,,,,,,,
1049,Velencei Shyne On,8.42,female,American Bulldog,12/1/19,12/4/19,12/3/19,striped,short,medium,yes,yes,yes,,,,,both flat and garden
2153,Lili,3.5,female,Unknown Mix,10/7/19,10/7/19,12/5/19,brown,short,medium,yes,,,,,,,
530,Beagle Keverék Kutyusok,0.17,male,Beagle Mix,11/1/19,11/1/19,11/30/19,black and brown,short,medium,no,,yes,yes,yes,yes,,
2136,Hónapos Szuka,0.5,female,Unknown Mix,11/4/19,11/4/19,11/29/19,brown,short,medium,yes,,,,,,,
531,Beagle Keverék Kutyus,0.17,female,Beagle Mix,11/1/19,11/1/19,11/30/19,brown and white,short,medium,no,,yes,yes,yes,yes,,
23774,,1.58,male,Unknown Mix,12/1/19,12/16/19,12/1/19,yellow-brown,wirehaired,small,no,,,,,,,
1794,Sátoraljaújhelyi Gesztenye,1.42,male,"Hungarian Vizsla, Staffordshire Terrier Mix",12/5/19,12/5/19,12/5/19,brown,short,medium,no,,yes,yes,yes,yes,,both flat and garden
1792,Kakucsi Henrik,1.42,male,Terrier Mix,12/1/19,12/1/19,12/1/19,yellow-brown,medium,small,no,,yes,yes,yes,yes,yes,both flat and garden
7927,Sajóörsi Foxi És Maxi,0.17,male,Unknown Mix,12/5/19,12/6/19,12/5/19,black and brown,short,small,no,,,,,,,
2152,Elsa,2.33,female,Unknown Mix,10/7/19,10/7/19,12/5/19,brown,short,medium,yes,,,,,,,
1047,Velencei Gavallér,9.17,male,Hungarian Greyhound,12/1/19,12/4/19,12/3/19,brown and white,short,large,yes,yes,yes,,,,,flat
23776,,1.58,male,Unknown Mix,12/1/19,12/16/19,12/1/19,yellow-brown,wirehaired,small,no,,,,,,,
1046,Nagyhalászi Szellõ,0.5,female,Greyhound Mix,11/27/19,11/30/19,11/27/19,yellow,short,medium,,,,,,,,flat
4481,Allegra,0.42,female,Unknown Mix,11/28/19,11/28/19,11/28/19,black and brown,short,small,,,yes,,yes,yes,,both flat and garden
1791,Dabasi Bors,1,male,Staffordshire Terrier Mix,11/28/19,11/28/19,11/28/19,brown,short,medium,no,,yes,yes,yes,yes,,both flat and garden
1787,Inárcsi Hektor,0.25,male,"German Shepherd Dog, Staffordshire Terrier Mix",11/24/19,11/24/19,11/25/19,yellow-brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
23757,Vlad,0.17,male,Unknown Mix,11/27/19,12/12/19,11/27/19,yellow-brown,short,small,no,,,,,,,
23756,Zsömi,6,male,Unknown Mix,11/26/19,12/11/19,11/26/19,yellow-brown,short,medium,no,,,,,,,
4482,Pongólina,0.58,female,Unknown Mix,11/15/19,11/15/19,11/28/19,apricot,short,medium,,,yes,,yes,yes,yes,both flat and garden
1041,Pola,2,female,"English Greyhound, Spanish Greyhound Mix",11/17/19,11/18/19,11/25/19,yellow,short,medium,yes,yes,yes,,,,,flat
1042,Bongó,2,male,Greyhound Mix,11/17/19,11/18/19,11/25/19,black and white,short,medium,yes,,,,,,,both flat and garden
4480,Lummia,0.33,female,Unknown Mix,11/25/19,11/25/19,11/28/19,black,short,medium,,,yes,,yes,yes,,both flat and garden
1220,King,2.92,male,Dachshund Mix,9/20/19,9/20/19,11/25/19,wild boar,short,medium,yes,,yes,yes,yes,yes,,flat
1044,Duster,1,male,Greyhound Mix,11/17/19,11/18/19,11/25/19,yellow,short,medium,,,yes,,,,,flat
1045,Barcsi Detre,0.5,male,Greyhound Mix,11/26/19,11/30/19,11/27/19,striped,short,medium,,,,,,,,flat
23761,,2,male,Unknown Mix,11/27/19,12/8/19,11/28/19,black,long,medium,no,,,,,,,
1043,Babóca,2,female,Greyhound Mix,11/17/19,11/17/19,11/25/19,spotty,short,medium,yes,,,,,,,
23762,,4,male,Unknown Mix,11/27/19,12/8/19,11/28/19,black,medium,medium,no,,,,,,,
1788,Szolnoki Sanyi,1,male,Terrier Mix,11/26/19,11/26/19,11/27/19,black and white,short,small,no,,yes,yes,yes,yes,,both flat and garden
1790,Újszászi Ász,4,male,Fox Terrier Mix,11/26/19,11/26/19,11/28/19,black and white,short,small,no,,yes,yes,no,yes,,both flat and garden
1789,Szolnoki Puszedli,1.42,female,Unknown Mix,11/26/19,11/26/19,11/27/19,black and brown,medium,small,no,,yes,yes,yes,yes,,both flat and garden
2135,Szálkás Szuka,0.5,female,Unknown Mix,11/4/19,11/4/19,11/29/19,black and tan,wirehaired,small,yes,,,,,,,
4475,Chance,1.25,male,Unknown Mix,11/9/19,11/9/19,11/17/19,black,short,medium,,,yes,,yes,yes,,both flat and garden
4476,Hope,1.25,male,Unknown Mix,11/9/19,11/9/19,11/17/19,black,short,medium,,,yes,,yes,yes,,both flat and garden
1082,Nelly,3.08,female,Unknown Mix,5/10/19,5/10/19,11/21/19,black and white,short,medium,yes,,yes,,,,,both flat and garden
23746,,0.25,female,Unknown Mix,11/21/19,12/6/19,11/21/19,gray and white,short,medium,no,,,,,,,
23751,Pici,1,male,Unknown Mix,11/22/19,11/22/19,11/22/19,yellow-brown,short,medium,yes,,,,,,,
1039,Gyõri Tictac,1.58,male,Greyhound Mix,10/18/19,11/20/19,11/19/19,black and white,short,medium,yes,,yes,,,,,both flat and garden
23754,,1,male,Staffordshire Terrier Mix,11/25/19,12/10/19,11/25/19,black and white,short,medium,,,,,,,,
23745,Tigris,5,male,Unknown Mix,11/21/19,11/21/19,11/21/19,striped,short,medium,yes,,,,,,,
4479,Gomez,0.5,male,Unknown Mix,11/11/19,11/11/19,11/17/19,white,short,small,,,yes,,yes,yes,,both flat and garden
1083,Aliz,5.58,female,Unknown Mix,8/10/19,8/10/19,11/21/19,yellow-brown,short,medium,yes,,yes,yes,yes,yes,,both flat and garden
4477,Sebastian,0.17,male,Unknown Mix,11/12/19,11/12/19,11/17/19,apricot,short,small,,,yes,,yes,yes,,both flat and garden
3,Vacok,2.42,male,"Dachshund, Fox Terrier Mix",6/12/19,6/12/19,11/24/19,apricot,short,medium,yes,yes,yes,yes,yes,yes,,both flat and garden
1785,Kakucsi Pötyi,0.33,female,"Chinese Shar-Pei, Dachshund Mix",11/18/19,11/18/19,11/19/19,apricot,short,medium,,,yes,yes,yes,yes,yes,both flat and garden
1085,Doc,0.58,male,Unknown Mix,5/15/19,5/15/19,11/21/19,tricolor,short,medium,yes,,yes,yes,yes,yes,,both flat and garden
